txn_id,account_id,txn_date,posted_date,description_raw,amount_original,currency,direction,normalized_type,counterparty,is_internal_transfer,expense_bucket,expense_type,needs_review,source_file,notes
mp_153124898049,mercadopago_ars,2026-04-08,2026-04-08,SETTLEMENT,100000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153124463285,mercadopago_ars,2026-04-08,2026-04-08,Mercado Pago - Checkouts (SETTLEMENT),-94703.46,ARS,outflow,expense,Mercado Pago,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153868608452,mercadopago_ars,2026-04-08,2026-04-08,SETTLEMENT,100000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153833902036,mercadopago_ars,2026-04-08,2026-04-08,PAYOUTS,-10700.0,ARS,outflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153806823560,mercadopago_ars,2026-04-08,2026-04-08,SETTLEMENT,14000.0,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153134802744,mercadopago_ars,2026-04-03,2026-04-08,SETTLEMENT,-29077.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_152335283727,mercadopago_ars,2026-04-02,2026-04-08,SETTLEMENT,-15019.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153006384392,mercadopago_ars,2026-04-02,2026-04-08,SETTLEMENT,-550.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_152398220317,mercadopago_ars,2026-04-03,2026-04-08,SETTLEMENT,-700.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_152346326105,mercadopago_ars,2026-04-03,2026-04-08,SETTLEMENT,-700.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1742032925651,mercadopago_ars,2026-04-08,2026-04-08,SETTLEMENT,41.64,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153750236268,mercadopago_ars,2026-04-07,2026-04-07,PAYOUTS,-11000.0,ARS,outflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153007032399,mercadopago_ars,2026-04-07,2026-04-07,SETTLEMENT,-27200.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_152257968059,mercadopago_ars,2026-04-02,2026-04-07,SETTLEMENT,-10630.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_152928452429,mercadopago_ars,2026-04-07,2026-04-07,SETTLEMENT,80000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153205102222,mercadopago_ars,2026-04-04,2026-04-07,SETTLEMENT,-9751.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1741959770476,mercadopago_ars,2026-04-07,2026-04-07,SETTLEMENT,1.82,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_152791498869,mercadopago_ars,2026-04-06,2026-04-06,SETTLEMENT,-13333.33,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_152774248655,mercadopago_ars,2026-04-06,2026-04-06,SETTLEMENT,14000.0,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1741888540573,mercadopago_ars,2026-04-06,2026-04-06,SETTLEMENT,122.71,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153177737096,mercadopago_ars,2026-04-03,2026-04-05,SETTLEMENT,-6654.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153388709782,mercadopago_ars,2026-04-05,2026-04-05,Mercado Pago - Checkouts (SETTLEMENT),-38000.0,ARS,outflow,expense,Mercado Pago,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153388641642,mercadopago_ars,2026-04-05,2026-04-05,SETTLEMENT,50000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153073028668,mercadopago_ars,2026-04-02,2026-04-02,SETTLEMENT,-17500.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_152333250435,mercadopago_ars,2026-04-02,2026-04-02,SETTLEMENT,50000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1741797931244,mercadopago_ars,2026-04-01,2026-04-01,SETTLEMENT,24.75,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_151644474131,mercadopago_ars,2026-03-29,2026-04-01,SETTLEMENT,-12905.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
